

name,time/op (ns/op),±


Hash/type:crc32;bytes:4-8,4.13067E+00,1%
Hash/type:xxhash;bytes:4-8,3.79800E+00,1%
Hash/type:maphash;bytes:4-8,7.67800E+00,0%
Hash/type:crc32;bytes:8-8,4.47967E+00,0%
Hash/type:xxhash;bytes:8-8,4.42867E+00,0%
Hash/type:maphash;bytes:8-8,7.36367E+00,0%
Hash/type:crc32;bytes:16-8,4.80433E+00,0%
Hash/type:xxhash;bytes:16-8,5.95300E+00,1%
Hash/type:maphash;bytes:16-8,7.00967E+00,5%
Hash/type:crc32;bytes:32-8,6.09233E+00,0%
Hash/type:xxhash;bytes:32-8,8.82433E+00,0%
Hash/type:maphash;bytes:32-8,6.49700E+00,0%
Hash/type:crc32;bytes:64-8,7.39933E+00,0%
Hash/type:xxhash;bytes:64-8,1.07133E+01,0%
Hash/type:maphash;bytes:64-8,7.71400E+00,0%
Hash/type:crc32;bytes:128-8,1.00167E+01,0%
Hash/type:xxhash;bytes:128-8,1.48167E+01,0%
Hash/type:maphash;bytes:128-8,1.03767E+01,0%
Hash/type:crc32;bytes:256-8,1.83100E+01,0%
Hash/type:xxhash;bytes:256-8,2.30467E+01,0%
Hash/type:maphash;bytes:256-8,1.69300E+01,0%
Hash/type:crc32;bytes:512-8,4.42933E+01,0%
Hash/type:xxhash;bytes:512-8,4.02000E+01,0%
Hash/type:maphash;bytes:512-8,4.48967E+01,0%

PoolOverhead/type:all_in_one_goroutine;tasks:1-8,1.94633E+03,16%
PoolOverhead/type:all_in_one_goroutine;tasks:10-8,1.77167E+03,0%
PoolOverhead/type:all_in_one_goroutine;tasks:100-8,2.76700E+03,0%
PoolOverhead/type:all_in_one_goroutine;tasks:500-8,3.30200E+03,0%
PoolOverhead/type:all_in_one_goroutine;tasks:1000-8,3.79700E+03,0%
PoolOverhead/type:all_in_one_goroutine;tasks:5000-8,9.57533E+03,0%
PoolOverhead/type:all_in_one_goroutine;tasks:10000-8,1.50430E+04,0%
PoolOverhead/type:all_in_one_goroutine;tasks:50000-8,6.17753E+04,0%
PoolOverhead/type:all_in_one_goroutine;tasks:100000-8,1.18156E+05,0%
PoolOverhead/type:all_in_one_goroutine;tasks:500000-8,5.87279E+05,0%
PoolOverhead/type:all_in_one_goroutine;tasks:1000000-8,1.14964E+06,0%
PoolOverhead/type:new_goroutine_per_task;tasks:1-8,1.22767E+03,1%
PoolOverhead/type:new_goroutine_per_task;tasks:10-8,1.22867E+03,0%
PoolOverhead/type:new_goroutine_per_task;tasks:100-8,1.25067E+03,2%
PoolOverhead/type:new_goroutine_per_task;tasks:500-8,1.27133E+03,1%
PoolOverhead/type:new_goroutine_per_task;tasks:1000-8,1.30933E+03,2%
PoolOverhead/type:new_goroutine_per_task;tasks:5000-8,1.31700E+03,1%
PoolOverhead/type:new_goroutine_per_task;tasks:10000-8,1.33567E+03,0%
PoolOverhead/type:new_goroutine_per_task;tasks:50000-8,1.37900E+03,1%
PoolOverhead/type:new_goroutine_per_task;tasks:100000-8,1.40067E+03,0%
PoolOverhead/type:new_goroutine_per_task;tasks:500000-8,1.49533E+03,1%
